t,o,h,l,c,v,n,vw
2022-12-12T09:00:00Z,142.14,142.7,142.14,142.54,17791,427,142.464804
2022-12-12T10:00:00Z,142.55,142.77,142.55,142.74,10157,153,142.624168
2022-12-12T11:00:00Z,142.7,142.74,142.57,142.66,7977,163,142.638498
2022-12-12T12:00:00Z,142.62,142.65,142.41,142.54,73222,1202,142.524462
2022-12-12T13:00:00Z,142.4899,142.8,141.56,142.52,206117,3590,142.625294
2022-12-12T14:00:00Z,142.56,143.01,141.64,142.679,7425211,97625,142.326599
2022-12-12T15:00:00Z,142.69,142.88,141.06,141.77,10887794,83044,141.909486
2022-12-12T16:00:00Z,141.77,142.47,141.73,141.9481,6489678,57396,142.101811
2022-12-12T17:00:00Z,141.95,142.45,141.84,142.2799,4807162,44370,142.148829
2022-12-12T18:00:00Z,142.2773,142.885,142.045,142.7,5470365,47365,142.42641
2022-12-12T19:00:00Z,142.71,143.93,142.39,143.815,7302223,59292,143.031441
2022-12-12T20:00:00Z,143.82,144.5,143.48,144.495,14235554,92036,143.717371
2022-12-12T21:00:00Z,144.48,144.55,142.941054,144.31,13398068,2562,144.485295
2022-12-12T22:00:00Z,144.32,144.49,144.24,144.3,62472,636,144.401971
2022-12-12T23:00:00Z,144.3,144.4,144.2419,144.38,24820,487,144.319723
2022-12-13T00:00:00Z,144.37,144.44,144.35,144.44,24811,536,144.389227
2022-12-13T09:00:00Z,144.74,144.92,144.4,144.69,38351,639,144.785469
2022-12-13T10:00:00Z,144.73,144.99,144.67,144.89,33452,493,144.816398
2022-12-13T11:00:00Z,144.89,145.14,144.89,145.08,54088,602,144.988807
2022-12-13T12:00:00Z,145.08,145.73,144.96,145.71,112470,1962,145.419319
2022-12-13T13:00:00Z,145.0379,151,144,149.45,1894185,25220,148.769096
2022-12-13T14:00:00Z,149.53,150.01,148.785,149.29,12844046,124672,149.318796
2022-12-13T15:00:00Z,149.29,149.37,146.91,147.86,15425692,131131,148.190946
2022-12-13T16:00:00Z,147.87,148.3496,145.668,146.2,11078421,86020,147.326058
2022-12-13T17:00:00Z,146.2008,146.37,144.24,145.065,10904617,84962,145.070089
2022-12-13T18:00:00Z,145.08,145.77,144.53,145.3,6908756,63044,145.217969
2022-12-13T19:00:00Z,145.3,146.14,144.28,145.14,10054471,80597,145.163814
2022-12-13T20:00:00Z,145.1336,145.97,144.32,145.49,11797969,98752,145.271046
2022-12-13T21:00:00Z,145.48,145.48,145.21,145.3416,12923414,2338,145.46821
2022-12-13T22:00:00Z,145.34,145.47,145.31,145.45,29652,581,145.396107
2022-12-13T23:00:00Z,145.45,145.5,145.4,145.41,17032,338,145.447058
2022-12-14T00:00:00Z,145.41,145.6,145.4,145.49,41687,1075,145.480107
2022-12-14T09:00:00Z,145.6,145.62,144.91,145.14,19479,593,145.182888
2022-12-14T10:00:00Z,145.08,145.25,145,145.05,20592,392,145.071373
2022-12-14T11:00:00Z,145.03,145.07,144.71,145,28689,571,144.882268
2022-12-14T12:00:00Z,145.05,145.37,144.92,145.08,87156,1538,145.1251
2022-12-14T13:00:00Z,144.95,145.37,144.9009,145.25,158554,2839,145.14198
2022-12-14T14:00:00Z,145.25,146.42,145.04,146.305,5486946,58898,145.730403
2022-12-14T15:00:00Z,146.3,146.655,145.64,145.99,7711992,70371,146.185306
2022-12-14T16:00:00Z,146,146.36,145.58,145.93,7301246,50722,145.965832
2022-12-14T17:00:00Z,145.93,145.94,145.2595,145.3,4029345,40357,145.582933
2022-12-14T18:00:00Z,145.31,146.63,145.2747,146.3162,8067898,50164,145.875104
2022-12-14T19:00:00Z,146.35,146.37,141.16,142.695,20481536,175551,142.927053
2022-12-14T20:00:00Z,142.71,145.08,142.19,143.22,16922038,132965,143.362536
2022-12-14T21:00:00Z,143.23,143.58,143.13,143.42,10395141,2644,143.212688
2022-12-14T22:00:00Z,143.41,143.43,143.21,143.34,989150,432,143.215065
2022-12-14T23:00:00Z,143.34,143.55,143.28,143.42,28764,545,143.389585
2022-12-15T00:00:00Z,143.44,143.44,143.25,143.4,32010,544,143.344372
2022-12-15T09:00:00Z,142.68,142.73,141.2,141.45,65218,1744,141.54475
2022-12-15T10:00:00Z,141.32,141.57,141.28,141.35,27808,613,141.423219
2022-12-15T11:00:00Z,141.3,141.77,141.22,141.77,37774,582,141.584819
2022-12-15T12:00:00Z,141.88,142.11,141.45,141.66,135401,2556,141.751789
2022-12-15T13:00:00Z,142.08,142.3,140.83,141.43,521233,9755,141.650283
