t,o,h,l,c,v,n,vw
2023-01-04T22:00:00Z,126.18,127.74,126.11,127.54,338478,3034,127.113711
2023-01-04T23:00:00Z,127.52,127.52,126.36,127,160518,1933,127.092238
2023-01-05T00:00:00Z,127.01,127.08,126.61,126.65,90243,1366,126.831205
2023-01-05T09:00:00Z,127,127,125.95,126.4,142428,1637,126.281125
2023-01-05T10:00:00Z,126.4,126.9,125.79,125.92,114561,1587,126.312147
2023-01-05T11:00:00Z,125.96,127.09,125.96,126.99,115484,1515,126.560744
2023-01-05T12:00:00Z,126.93,127.88,126.87,127.6,234127,4140,127.43456
2023-01-05T13:00:00Z,127.05,127.87,126.25,126.92,794836,10758,127.169761
2023-01-05T14:00:00Z,126.9115,127.4891,125.32,127.38,12829181,131328,126.302146
2023-01-05T15:00:00Z,127.3699,127.74,126.16,126.42,13422726,108808,126.882299
2023-01-05T16:00:00Z,126.42,127.08,126.15,126.68,8634913,71416,126.655418
2023-01-05T17:00:00Z,126.68,126.955,126.18,126.2474,5283324,52401,126.507179
2023-01-05T18:00:00Z,126.245,127.04,125.8001,126.27,8188121,69513,126.439049
2023-01-05T19:00:00Z,126.28,126.47,125.475,125.48,7404298,71582,126.003974
2023-01-05T20:00:00Z,125.485,125.53,124.76,125.03,14946852,129803,125.128037
2023-01-05T21:00:00Z,125.02,125.34,124.99,125.16,8908812,4111,125.023942
2023-01-05T22:00:00Z,125.15,125.15,125.05,125.1,75097,1366,125.109015
2023-01-05T23:00:00Z,125.13,125.23,124.8,125.17,88894,1627,125.044447
2023-01-06T00:00:00Z,125.17,125.25,125.12,125.25,46537,939,125.185773
2023-01-06T09:00:00Z,125.52,125.52,124.64,124.96,57740,1382,125.009693
2023-01-06T10:00:00Z,124.96,125.22,124.86,124.86,29749,632,125.045441
2023-01-06T11:00:00Z,124.85,125.16,124.8,124.91,15140,395,124.962086
2023-01-06T12:00:00Z,124.91,125.08,124.77,124.9,117655,1954,124.92144
2023-01-06T13:00:00Z,124.86,126.75,124.4,126.4,1314359,17857,125.626559
2023-01-06T14:00:00Z,126.39,127.19,124.89,125.8,11906647,128852,125.969485
2023-01-06T15:00:00Z,125.8,127.51,125.8,127.41,13387900,124542,126.92978
2023-01-06T16:00:00Z,127.445,128.04,127.01,127.88,9949724,89881,127.559247
2023-01-06T17:00:00Z,127.8899,128.48,127.78,127.96,7665392,66317,128.167164
2023-01-06T18:00:00Z,127.96,128.88,127.89,128.845,6715157,56454,128.380934
2023-01-06T19:00:00Z,128.85,129.99,128.7833,129.8491,9481439,80125,129.449608
2023-01-06T20:00:00Z,129.85,130.29,129.34,129.5,15685623,135634,129.796743
2023-01-06T21:00:00Z,129.49,129.66,129.18,129.341,10602677,3496,129.61017
2023-01-06T22:00:00Z,129.32,129.35,129.24,129.32,737640,876,129.593645
2023-01-06T23:00:00Z,129.29,129.38,129.29,129.35,27975,564,129.339453
2023-01-07T00:00:00Z,129.37,129.38,129.26,129.26,41294,608,129.30814
2023-01-09T09:00:00Z,129.6,130.5,129.6,130.29,74475,1764,130.153842
2023-01-09T10:00:00Z,130.26,130.5,130.15,130.25,30779,979,130.311146
2023-01-09T11:00:00Z,130.21,130.35,130.02,130.22,31943,918,130.212986
2023-01-09T12:00:00Z,130.25,130.4,130.16,130.25,149821,2684,130.275261
2023-01-09T13:00:00Z,130.2,130.63,129.955,130.2,427988,8029,130.263472
2023-01-09T14:00:00Z,130.24,132.06,130.13,132.015,10177915,142797,131.161259
2023-01-09T15:00:00Z,132.01,133.14,131.96,132.74,12707191,118286,132.502369
2023-01-09T16:00:00Z,132.74,133.41,132.67,132.945,8730974,78933,133.047417
2023-01-09T17:00:00Z,132.94,132.955,132.25,132.459,6341391,55394,132.59708
2023-01-09T18:00:00Z,132.46,132.64,131.19,131.395,7190618,66471,131.941004
2023-01-09T19:00:00Z,131.39,131.726,130.59,130.67,7512769,69507,131.325151
2023-01-09T20:00:00Z,130.68,130.82,129.89,130.19,9641060,91358,130.348013
2023-01-09T21:00:00Z,130.19,131.709,130.04,130.1,7489981,1885,130.157518
2023-01-09T22:00:00Z,130.12,130.12,130.03,130.04,110955,809,130.124267
2023-01-09T23:00:00Z,130.05,130.07,129.95,130.04,76076,1557,130.021745
2023-01-10T00:00:00Z,130.01,130.04,129.76,129.85,113070,1791,129.878198
2023-01-10T09:00:00Z,130.02,130.28,129.84,130.13,47363,839,130.040054
2023-01-10T10:00:00Z,130.17,130.5,130.1,130.5,19592,498,130.276988
2023-01-10T11:00:00Z,130.44,130.46,130.01,130.12,33037,793,130.17904
2023-01-10T12:00:00Z,130.12,130.12,129.32,129.75,126899,2923,129.646468
2023-01-10T13:00:00Z,130.0334,130.4385,129.3,129.85,261290,5083,129.712817
2023-01-10T14:00:00Z,129.88,131.2636,129.51,129.99,9471479,106755,130.229309
2023-01-10T15:00:00Z,129.99,130.8367,128.12,129.09,12943447,128056,129.413267
2023-01-10T16:00:00Z,129.1,129.23,128.66,128.88,7632922,68496,128.959486
2023-01-10T17:00:00Z,128.87,129.86,128.45,129.73,6102889,54357,129.212876
2023-01-10T18:00:00Z,129.73,130.27,129.42,130.225,6966917,57167,129.84875
