t,o,h,l,c,v,n,vw
2023-01-04T22:00:00Z,383.31,383.88,383.29,383.61,173955,1041,383.630732
2023-01-04T23:00:00Z,383.45,383.87,383.38,383.63,114351,617,383.633015
2023-01-05T00:00:00Z,383.55,383.75,383.34,383.37,71728,547,383.478331
2023-01-05T09:00:00Z,383,383.6,382.52,383.6,29930,331,383.050848
2023-01-05T10:00:00Z,383.64,384.32,383.59,384.08,31679,263,383.995716
2023-01-05T11:00:00Z,384.12,384.71,384.08,384.29,75003,457,384.417269
2023-01-05T12:00:00Z,384.28,384.92,383.8,383.88,218120,1961,384.264092
2023-01-05T13:00:00Z,384.24,384.9,381.4,381.71,1027125,7025,382.439845
2023-01-05T14:00:00Z,381.66,381.76,378.89,380.12,10071779,79796,380.451413
2023-01-05T15:00:00Z,380.13,381.76,379.28,379.39,13114297,95509,380.617534
2023-01-05T16:00:00Z,379.4,380.34,378.76,379.3,7690968,57979,380.074895
2023-01-05T17:00:00Z,379.29,380.45,379.095,379.42,4820674,45063,379.967867
2023-01-05T18:00:00Z,379.435,381.47,379.04,380.57,9706132,67427,380.70176
2023-01-05T19:00:00Z,380.58,381.71,380.06,380.8009,5598811,51388,380.851368
2023-01-05T20:00:00Z,380.82,380.82,378.915,379.4,14374449,109843,379.700952
2023-01-05T21:00:00Z,379.4,379.84,379.27,379.76,8842247,4688,379.541688
2023-01-05T22:00:00Z,379.74,379.85,379.4,379.77,70517,374,379.611108
2023-01-05T23:00:00Z,379.85,380.2,379.38,380,351222,673,379.510187
2023-01-06T00:00:00Z,380,380.38,380,380.34,42220,523,380.220217
2023-01-06T09:00:00Z,380,380,378.99,379.48,42229,405,379.448219
2023-01-06T10:00:00Z,379.38,379.93,379.17,379.38,23876,192,379.598245
2023-01-06T11:00:00Z,379.38,380.04,379.3,379.66,78198,437,379.831265
2023-01-06T12:00:00Z,379.55,379.66,379.13,379.44,252865,1594,379.42842
2023-01-06T13:00:00Z,379.43,384.04,378.43,383.73,3430620,18261,381.526032
2023-01-06T14:00:00Z,383.77,383.96,379.45,380.737,9745921,79690,381.522628
2023-01-06T15:00:00Z,380.76,385.57,380.75,385.27,19059040,135332,382.737207
2023-01-06T16:00:00Z,385.3,386.72,385,386.26,11224265,93653,385.183375
2023-01-06T17:00:00Z,386.26,386.51,385.06,385.46,6477244,52549,385.533811
2023-01-06T18:00:00Z,385.45,386.85,385.215,386.72,5894559,53433,385.599528
2023-01-06T19:00:00Z,386.72,388.79,386.72,388.52,11770162,82039,386.880094
2023-01-06T20:00:00Z,388.51,389.25,387.73,388.03,22400657,157048,387.903628
2023-01-06T21:00:00Z,388.03,390,387.58,387.78,12947320,6346,386.512845
2023-01-06T22:00:00Z,387.79,388,387.6,387.83,225718,966,387.816667
2023-01-06T23:00:00Z,387.83,388.08,387.75,387.78,77253,446,387.834993
2023-01-07T00:00:00Z,387.79,387.83,386.38,387.58,81729,686,387.571675
2023-01-09T09:00:00Z,388.37,389.8,388.37,389.4,45236,365,389.320536
2023-01-09T10:00:00Z,389.35,389.9,389.31,389.68,36657,235,389.548382
2023-01-09T11:00:00Z,389.65,389.8,389.22,389.31,27884,207,389.435885
2023-01-09T12:00:00Z,389.3,390.05,389.3,389.65,319764,1753,389.651595
2023-01-09T13:00:00Z,389.5,390.29,388.5,389.66,489625,4382,389.655205
2023-01-09T14:00:00Z,389.67,391.67,389.35,391.6,7424620,66521,390.555181
2023-01-09T15:00:00Z,391.62,393.25,391.21,392.6,9742244,85893,392.198967
2023-01-09T16:00:00Z,392.6,393.7,392.6,393.38,7226491,61671,392.89168
2023-01-09T17:00:00Z,393.38,393.38,391.86,392.32,6279567,50168,392.346132
2023-01-09T18:00:00Z,392.325,392.47,389.87,390.485,8650506,73698,391.160407
2023-01-09T19:00:00Z,390.49,391.12,388.76,388.95,8250756,70817,390.26506
2023-01-09T20:00:00Z,388.9495,389.22,387.67,387.8657,17100404,126286,388.337096
2023-01-09T21:00:00Z,387.87,387.95,387.51,387.79,8061399,4834,387.895166
2023-01-09T22:00:00Z,387.82,387.94,387.6,387.81,113402,698,387.70707
2023-01-09T23:00:00Z,387.83,387.92,387.38,387.54,79272,799,387.712571
2023-01-10T00:00:00Z,387.6,387.66,386.8,387.15,146107,1169,387.096813
2023-01-10T09:00:00Z,387.86,387.86,386.91,387.67,50584,332,387.331848
2023-01-10T10:00:00Z,387.82,387.95,387.4,387.63,25107,220,387.6983
2023-01-10T11:00:00Z,387.63,387.63,386.5,386.76,119264,623,386.848116
2023-01-10T12:00:00Z,386.71,386.75,385.74,386.28,501956,2497,386.248966
2023-01-10T13:00:00Z,386.25,387.7396,385.75,386.6,576809,3826,386.203376
2023-01-10T14:00:00Z,386.6,389.23,386.3,388.45,7051726,69907,388.127079
2023-01-10T15:00:00Z,388.46,389.99,386.27,388.3701,10346688,92189,388.155102
2023-01-10T16:00:00Z,388.39,388.8,387.35,388.12,5676112,50464,388.134286
2023-01-10T17:00:00Z,388.12,389.1896,387.19,388.78,5405548,47510,388.295327
2023-01-10T18:00:00Z,388.78,389.6101,388.53,389.52,5200084,46288,389.131537
2023-01-10T19:00:00Z,389.57,390.22,389.24,389.49,5922411,52360,389.738284
2023-01-10T20:00:00Z,389.485,390.65,388.76,390.63,13737836,98215,389.805103
2023-01-10T21:00:00Z,390.62,390.82,390.37,390.62,10257220,4721,390.501587
2023-01-10T22:00:00Z,390.69,390.72,390.53,390.65,166914,752,390.604992
2023-01-10T23:00:00Z,390.65,390.77,390.37,390.7,106959,756,390.535114
2023-01-11T00:00:00Z,390.75,391.15,390.73,391.07,215695,1260,390.885522
2023-01-11T09:00:00Z,390.45,391.6,390.36,391.3,28416,278,391.28462
2023-01-11T10:00:00Z,391.42,391.94,391.1,391.3,34901,254,391.484598
2023-01-11T11:00:00Z,391.28,391.75,391.1,391.38,42599,236,391.382567
2023-01-11T12:00:00Z,391.43,391.56,390.77,391.4,230561,1619,391.217003
2023-01-11T13:00:00Z,391.32,392.25,390.2,392.16,531186,3923,391.828176
2023-01-11T14:00:00Z,392.19,393.1594,391.75,392.31,6496205,58241,392.500683
2023-01-11T15:00:00Z,392.31,393.08,391.38,391.5801,7966605,68415,392.348625
2023-01-11T16:00:00Z,391.595,393.045,391.514,392.74,6261831,49119,392.287196
2023-01-11T17:00:00Z,392.77,393.63,392.765,393.189,7068173,44868,392.895041
2023-01-11T18:00:00Z,393.202,394.28,392.945,393.64,6243109,53632,393.450838
2023-01-11T19:00:00Z,393.65,394.56,393.18,394.3082,5454829,47900,393.950605
2023-01-11T20:00:00Z,394.3,395.6,394.03,395.5,20814450,115201,393.818695
2023-01-11T21:00:00Z,395.5,395.68,395.34,395.68,7103080,5849,394.264006
2023-01-11T22:00:00Z,395.57,395.8499,395.57,395.75,329865,1018,395.598362
2023-01-11T23:00:00Z,395.73,395.73,395.3,395.35,168024,1275,395.487262
2023-01-12T00:00:00Z,395.35,395.42,395.09,395.33,126223,1072,395.215779
2023-01-12T09:00:00Z,395.36,395.87,395.36,395.8,50080,316,395.682083
2023-01-12T10:00:00Z,395.78,395.78,395.25,395.62,20353,194,395.437799
2023-01-12T11:00:00Z,395.62,395.9,395.53,395.75,35982,246,395.782325
2023-01-12T12:00:00Z,395.74,396.68,395.71,396.67,276957,1544,396.346412
2023-01-12T13:00:00Z,396.66,398.45,392,398,5239302,34822,395.770224
2023-01-12T14:00:00Z,398.05,398.78,392.42,393.71,11930900,100073,394.527674
2023-01-12T15:00:00Z,393.73,396.99,393.64,395.49,14810994,127961,395.668791
2023-01-12T16:00:00Z,395.51,396.54,394.36,396.36,7615084,67243,395.582027
2023-01-12T17:00:00Z,396.37,398.126,396.14,397.755,7956608,63711,397.412355
2023-01-12T18:00:00Z,397.75,398.43,395.53,398.26,10434765,83848,397.284399
2023-01-12T19:00:00Z,398.27,398.485,396.72,397.39,7424036,62270,397.658493
